Date,DAU,DNU,retain_rate_1,Old_DAU
2018/11/1,8480,8480,0.440 ,0
2018/11/2,12438,8704,0.439 ,
2018/11/3,18591,12324,0.464 ,
2018/11/4,27652,17372,0.423 ,
2018/11/5,25558,11168,0.464 ,
2018/11/6,24080,8364,0.465 ,
2018/11/7,24819,8493,0.472 ,
2018/11/8,24183,6777,0.465 ,
2018/11/9,23112,5635,0.459 ,
2018/11/10,25650,7919,0.458 ,
2018/11/11,30586,11526,0.442 ,
2018/11/12,30470,9246,0.428 ,
2018/11/13,31746,10130,0.459 ,
2018/11/14,31228,8166,0.458 ,
2018/11/15,30835,7195,0.449 ,
2018/11/16,29631,6096,0.455 ,
2018/11/17,31325,7602,0.452 ,
2018/11/18,34128,9305,0.442 ,
2018/11/19,32185,6707,0.456 ,
2018/11/20,31937,6546,0.466 ,
2018/11/21,32976,7311,0.465 ,
2018/11/22,33215,7067,0.471 ,
2018/11/23,36472,9960,0.456 ,
2018/11/24,40190,11692,0.460 ,
2018/11/25,51008,20108,0.425 ,
2018/11/26,46054,11629,0.435 ,
2018/11/27,44356,10430,0.462 ,
2018/11/28,44133,9795,0.449 ,
2018/11/29,42535,8059,0.456 ,
2018/11/30,42872,8286,0.464 ,
2018/12/1,50067,14634,0.449 ,
2018/12/2,60402,21635,0.429 ,
2018/12/3,62801,20370,0.447 ,
2018/12/4,59433,14214,0.466 ,
2018/12/5,55312,9684,0.466 ,
2018/12/6,53034,8802,0.468 ,
2018/12/7,52698,8955,0.466 ,
2018/12/8,58035,13579,0.460 ,
2018/12/9,61475,14189,0.442 ,
2018/12/10,59650,12361,0.474 ,
2018/12/11,58290,10744,0.482 ,
2018/12/12,58741,10916,0.472 ,
2018/12/13,56964,8822,0.483 ,
2018/12/14,55102,7389,0.450 ,
2018/12/15,57429,10251,0.455 ,
2018/12/16,61157,12560,0.417 ,
2018/12/17,56482,8532,0.461 ,
2018/12/18,54416,8692,0.496 ,
2018/12/19,57712,10158,0.475 ,
2018/12/20,59805,10775,0.458 ,
2018/12/21,60661,11012,0.460 ,
2018/12/22,66993,16603,0.461 ,
2018/12/23,76126,21778,0.440 ,
2018/12/24,80968,23856,0.430 ,
2018/12/25,78355,19349,0.433 ,
2018/12/26,83144,21758,0.471 ,
2018/12/27,97547,31561,0.476 ,
2018/12/28,103740,30072,0.465 ,
2018/12/29,106236,28062,0.454 ,
2018/12/30,111239,28833,0.432 ,
2018/12/31,102187,20010,0.452 ,
2019/1/1,119233,34866,0.428 ,
2019/1/2,114012,24634,0.455 ,
2019/1/3,105630,16068,0.442 ,
2019/1/4,99446,13280,0.442 ,
2019/1/5,100270,15272,0.440 ,
2019/1/6,108360,23095,0.417 ,
2019/1/7,100132,14911,0.435 ,
2019/1/8,95152,12387,0.444 ,
2019/1/9,92998,12450,0.437 ,
2019/1/10,88647,9467,0.443 ,
2019/1/11,87266,9864,0.434 ,
2019/1/12,95755,17170,0.421 ,
2019/1/13,102472,20993,0.398 ,
2019/1/14,93465,12466,0.433 ,
2019/1/15,88600,9245,0.442 ,
2019/1/16,84747,7305,0.432 ,
2019/1/17,82739,7083,0.410 ,
2019/1/18,80017,8190,0.357 ,
2019/1/19,85778,14374,0.342 ,
2019/1/20,93554,19623,0.323 ,
2019/1/21,89410,15549,0.323 ,
2019/1/22,81752,9072,0.351 ,
2019/1/23,79374,8164,0.359 ,
2019/1/24,78751,8333,0.359 ,
2019/1/25,76569,8106,0.357 ,
2019/1/26,80501,11217,0.353 ,
2019/1/27,85316,13709,0.334 ,
2019/1/28,80869,10506,0.350 ,
2019/1/29,79814,9660,0.347 ,
2019/1/30,79923,9757,0.351 ,
2019/1/31,78769,9524,0.333 ,
