Date,DAU,DNU,retain_rate_1,Old_DAU,,,,,,,,,Old_DAU
2020/4/22,3438147,176822,0.1807,,,,,,,,,,
2020/4/23,3327581,168176,0.181,,,,,,,,,,
2020/4/24,3367927,169700,0.188,,,,,,,,,,
2020/4/25,3513916,177066,0.1831,,,,,,,,,,
2020/4/26,3360297,168887,0.189,,,,,,,,,,
2020/4/27,3662540,166277,0.1762,,,,,,,,,,
2020/4/28,3542774,172963,0.1764,,,,,,,,,,
2020/4/29,3479222,171623,0.1732,,,,,,,,,,
2020/4/30,3547656,172081,0.1724,,,,,,,,,,
2020/5/1,3560158,185915,0.1771,,,,,,,,,,
2020/5/2,3498644,175838,0.1811,,,,,,,,,,
2020/5/3,3391816,167272,0.1891,,,,,,,,,,
2020/5/4,3577544,168635,0.1817,,,,,,,,,,
2020/5/5,3440465,176518,0.18,,,,,,,,,,
2020/5/6,3468135,168291,0.1818,,,,,,,,,,
2020/5/7,3420077,168825,0.1737,,,,,,,,,,
2020/5/8,3461151,175482,0.174,,,,,,,,,,
2020/5/9,3490141,170068,0.1802,,,,,,,,,,
2020/5/10,3509695,240376,0.2555,,,,,,,,,,
2020/5/11,3468035,175398,0.1781,,,,,,,,,,
2020/5/12,3382664,183657,0.167,,,,,,,,,,
2020/5/13,3391574,163235,0.1842,,,,,,,,,,
2020/5/14,3534127,162367,0.1783,,,,,,,,,,
2020/5/15,3587616,150556,0.1913,,,,,,,,,,
2020/5/16,3362677,145080,0.2029,,,,,,,,,,
2020/5/17,3399887,156575,0.1935,,,,,,,,,,
2020/5/18,3558401,161168,0.202,,,,,,,,,,
2020/5/19,3528543,162795,0.1948,,,,,,,,,,
2020/5/20,3763572,166844,0.1881,,,,,,,,,,
2020/5/21,3657841,177112,0.1794,,,,,,,,,,
2020/5/22,3423042,174840,0.1666,,,,,,,,,,
2020/5/23,3434032,185708,0.1678,,,,,,,,,,
2020/5/24,3489974,188448,0.1539,,,,,,,,,,
2020/5/25,3592619,189489,0.1646,,,,,,,,,,
2020/5/26,3595566,194776,0.1626,,,,,,,,,,
2020/5/27,3667237,203548,0.1606,,,,,,,,,,
2020/5/28,3585966,208619,0.1545,,,,,,,,,,
2020/5/29,3701835,220160,0.155,,,,,,,,,,
2020/5/30,3754722,226471,0.1532,,,,,,,,,,
2020/5/31,3788683,,,,,,,,,,,,
